, , , ,Rushing,0,0,Receiving,0,0,Scrimmage,0,0
Rk,Player,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD
1,Raheim Sanders,RB,12,183,881,4.8,11,73.4,27,316,11.7,2,26.3,210,1197,5.7,13
2,LaNorris Sellers,QB,11,155,655,4.2,7,59.5,0,0,0,0,0.0,155,655,4.2,7
3,Joshua Simon,TE,11,0,0,0.0,0,0.0,34,450,13.2,6,40.9,34,450,13.2,6
4,Oscar Adaway III,RB,12,63,226,3.6,2,18.8,8,108,13.5,0,9.0,71,334,4.7,2
5,Mazeo Bennett Jr.,WR,12,0,0,0.0,0,0.0,28,324,11.6,3,27.0,28,324,11.6,3
6,Nyck Harbor,WR,12,1,1,1.0,0,0.1,22,315,14.3,3,26.3,23,316,13.7,3
7,Jared Brown,WR,8,5,38,7.6,0,4.8,15,244,16.3,1,30.5,20,282,14.1,1
8,Dalevon Campbell,WR,12,0,0,0.0,0,0.0,11,252,22.9,0,21.0,11,252,22.9,0
9,Gage Larvadain,WR,12,1,10,10.0,0,0.8,18,220,12.2,1,18.3,19,230,12.1,1
10,Robby Ashford,QB,8,41,227,5.5,2,28.4,0,0,0.0,0,0.0,41,227,5.5,2
11,Vandrevius Jacobs,WR,9,0,0,0.0,0,0.0,12,181,15.1,0,20.1,12,181,15.1,0
12,Juju McDowell,RB,12,21,87,4.1,0,7.3,1,12,12.0,1,1.0,22,99,4.5,1
13,Michael Smith,TE,11,0,0,0.0,0,0.0,9,96,10.7,1,8.7,9,96,10.7,1
14,Bradley Dunn,FB,3,8,52,6.5,1,17.3,1,13,13.0,0,4.3,9,65,7.2,1
15,Eriq Rice,WR,3,0,0,0.0,0,0.0,3,35,11.7,0,11.7,3,35,11.7,0
16,Payton Mangrum,WR,4,0,0,0.0,0,0.0,3,27,9.0,0,6.8,3,27,9.0,0
17,Matthew Fuller,RB,2,8,25,3.1,0,12.5,0,0,0.0,0,0.0,8,25,3.1,0
18,Brady Hunt,TE,10,0,0,0.0,0,0.0,2,22,11.0,0,2.2,2,22,11.0,0
19,Luke Doty,QB,11,0,0,0.0,0,0.0,3,17,5.7,0,1.5,3,17,5.7,0
20,Connor Cox,TE,4,0,0,0.0,0,0.0,1,9,9.0,1,2.3,1,9,9.0,1
21,Jatavius Shivers,OL,7,0,0,0.0,0,0.0,1,2,2.0,0,0.3,1,2,2.0,0
22,Davis Beville,QB,3,4,2,0.5,0,0.7,0,0,0.0,0,0.0,4,2,0.5,0
23,Jawarn Howell,RB,4,14,92,6.6,2,23.0,0,0,0.0,0,0.0,14,92,6.6,2
24,Maurice Brown,TE,12,1,0,0.0,0,0.0,1,1,1.0,1,0.1,2,1,0.5,1
Totals,,,12,505,2267,4.5,25,188.9,200,2644,13.2,20,220.3,705,4911,7.0,45
